index	project_slug	role	width_px	height_px	response_format	bytes	audited_on	http_status	quality_assessment	crop_assessment	future_action	url
010	72-park	gallery-1	1920	1080	jpeg	486162	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/pool.webp
011	72-park	gallery-2	1920	1092	jpeg	393211	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/lobby.webp
012	72-park	gallery-3	1920	1279	jpeg	396381	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/beach.webp
013	72-park	gallery-4	1920	1130	jpeg	431437	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/gym.webp
014	72-park	gallery-5	1920	1200	jpeg	267528	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/kitchen.webp
015	72-park	gallery-6	1920	1067	jpeg	616658	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/byron-bar.webp
016	72-park	gallery-7	1920	1098	jpeg	560803	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/rooftop.webp
017	72-park	gallery-8	1728	1920	jpeg	273188	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/72%20Park/bathroom.webp
018	7200-collins	cover	1510	1080	jpeg	341685	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/7200%20Collins/Hero-Sunset-Thumbnail-7200-Collins-North-Beach-Miami.jpg
019	7200-collins	gallery-1	2560	1440	jpeg	566999	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Hummingbird-Main-Banner-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220367551
020	7200-collins	gallery-2	2560	1331	jpeg	518933	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Amenities-Rooftop-Terrace-Gallery-5-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220367575
021	7200-collins	gallery-3	1510	1409	jpeg	619979	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Home-Building-Hero-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220367392
022	7200-collins	gallery-4	1278	1080	jpeg	251494	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Home-Pool-Amenities-Gallery-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220365868
023	7200-collins	gallery-5	2560	1331	jpeg	604387	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Amenities-Gym-Gallery-4-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220367530
024	7200-collins	gallery-6	1278	1080	jpeg	276825	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Home-Library-Lounge-Amenities-Gallery-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220366454
025	7200-collins	gallery-7	1278	1080	jpeg	190690	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Home-Residents-Lounge-Amenities-Gallery-7200-Collins-North-Beach-Miami-2.jpg?updatedAt=1757220365850
026	7200-collins	gallery-8	2560	1434	jpeg	444020	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/7200%20Collins/Residences-Kitchen-Full-7200-Collins-North-Beach-Miami.jpg?updatedAt=1757220365994
027	ambar-orlando	cover	1000	560	jpeg	199334	2026-07-12	200	Resolution limited for flexible web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Ambar/portada.jpg
028	ambar-orlando	gallery-1	1920	1080	jpeg	269199	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/docs_f8f2126f-fb5b-4d7a-9daa-d7625169d2fb_riviera_images_1.jpeg
029	ambar-orlando	gallery-2	2000	1125	jpeg	464121	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/docs_0031cc80-6976-483a-9708-8b17d5cf6f6e_riviera_images_1.jpeg
030	ambar-orlando	gallery-3	2146	1300	jpeg	466304	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/Captura%20de%20pantalla%202026-01-17%20a%20la(s)%204.08.44%E2%80%AFp.m..jpg
031	ambar-orlando	gallery-4	2466	1292	jpeg	452176	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/Captura%20de%20pantalla%202026-01-17%20a%20la(s)%204.13.12%E2%80%AFp.m..jpg
032	ambar-orlando	gallery-5	1368	1284	jpeg	422077	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/Captura%20de%20pantalla%202026-01-17%20a%20la(s)%204.11.02%E2%80%AFp.m..png?updatedAt=1768684347893
033	ambar-orlando	gallery-6	2472	1282	jpeg	559000	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/Captura%20de%20pantalla%202026-01-17%20a%20la(s)%204.20.36%E2%80%AFp.m..jpg
034	ambar-orlando	gallery-7	2334	1282	jpeg	244009	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/Captura%20de%20pantalla%202026-01-17%20a%20la(s)%204.23.26%E2%80%AFp.m..jpg
035	ambar-orlando	gallery-8	1792	1294	jpeg	164484	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ambar/Captura%20de%20pantalla%202026-01-17%20a%20la(s)%204.24.34%E2%80%AFp.m..jpg
036	ave-maria	cover	1600	1198	jpeg	441085	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Ave%20Maria/TheClub_MapleRidge28of38-1600x1198.jpg
037	ave-maria	gallery-1	1600	1135	jpeg	530057	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ave%20Maria/Inlet-Coastal-Photo.jpg
038	ave-maria	gallery-2	1600	1067	jpeg	183950	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ave%20Maria/Harbour_KLD_0008-2-1-1600x1067.jpeg
039	ave-maria	gallery-3	1600	1067	jpeg	205171	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ave%20Maria/Fairawy_LR_0019-1600x1067.jpg
040	ave-maria	gallery-4	1600	1066	jpeg	204199	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Ave%20Maria/Greenview_Kitchen_-1600x1066.jpg
041	baccarat	cover	1920	927	jpeg	400607	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Baccarat/Related-OneBrickell-03-Extrior_Grua-01.jpg
042	baccarat	gallery-1	1920	956	jpeg	532260	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_3-Porte-Cochere.jpg
043	baccarat	gallery-2	1920	809	jpeg	481982	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_17-Pool-Red-Umbrellas_HD-Copy.jpg
044	baccarat	gallery-3	1920	1080	jpeg	752416	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_16-Orangerie.jpg
045	baccarat	gallery-4	1920	1266	jpeg	372668	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_28-Master-Bedroom.jpg
046	baccarat	gallery-5	1920	1019	jpeg	512832	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_9-Grand-Salon_HD-copy.jpg
047	baccarat	gallery-6	1920	1100	jpeg	370594	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_27-Unit-Kitchen.jpg
048	baccarat	gallery-7	1920	1086	jpeg	414796	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/BACCARAT_8-Harmonie-Room.jpg
049	baccarat	gallery-8	1920	1019	jpeg	456142	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Baccarat/Fitness-by-Anatomy.jpg
050	cassia	cover	1600	1027	jpeg	322645	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Cassia/1.jpeg
051	cassia	gallery-1	1600	876	jpeg	316643	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/2.jpeg
052	cassia	gallery-2	1600	876	jpeg	285603	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/3.jpeg
053	cassia	gallery-3	1069	607	jpeg	137523	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/4.jpg
054	cassia	gallery-4	1068	611	jpeg	144612	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/5.jpg
055	cassia	gallery-5	1072	608	jpeg	105588	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/6.jpg
056	cassia	gallery-6	1600	900	jpeg	245140	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/7.jpeg
057	cassia	gallery-7	1600	1011	jpeg	180154	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/8.jpeg
058	cassia	gallery-8	1600	900	jpeg	154186	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Cassia/9.jpeg
059	cipriani	gallery-1	2048	1501	jpeg	729350	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-2.jpg
060	cipriani	gallery-2	2048	2048	jpeg	1250339	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-7.jpg
061	cipriani	gallery-3	2048	1365	jpeg	561736	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-3.jpg
062	cipriani	gallery-4	2048	1365	jpeg	322541	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-8.jpg
063	cipriani	gallery-5	2048	1365	jpeg	332535	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-9.jpg
064	cipriani	gallery-6	2048	1365	jpeg	297938	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-6.jpg
065	cipriani	gallery-7	2048	1152	jpeg	349738	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-4.jpg
066	cipriani	gallery-8	2048	931	jpeg	245093	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/CIpriani/1-5.jpg
067	domus-brickell-center	cover	1600	900	jpeg	299677	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/c_nOVrUw.jpeg
068	domus-brickell-center	gallery-1	1600	1000	jpeg	259752	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/osYxguqg.jpeg
069	domus-brickell-center	gallery-2	1600	1000	jpeg	259712	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/uUMtGHZw.jpeg
070	domus-brickell-center	gallery-3	2048	1024	jpeg	364998	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/sw7vVp0w.jpeg
071	domus-brickell-center	gallery-4	1600	1000	jpeg	257585	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/Cjir9QRQ.jpeg
072	domus-brickell-center	gallery-5	1600	1000	jpeg	214141	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/KvH4wVCA.jpeg
073	domus-brickell-center	gallery-6	1600	1000	jpeg	220274	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/SEtJgUoQ.jpeg
074	domus-brickell-center	gallery-7	1280	914	jpeg	131559	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/4mj3v7Kw.jpeg
075	domus-brickell-center	gallery-8	1600	1000	jpeg	173645	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus%20Brickell%20Center/PP8zSn4w.jpeg
076	domus-brickell-park	gallery-1	1262	786	jpeg	216427	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/gallery-6.jpg
077	domus-brickell-park	gallery-2	1440	1920	jpeg	454657	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Portrait; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/Domus_02_rev05_Final.jpeg
078	domus-brickell-park	gallery-3	2000	1250	jpeg	363411	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/Domus_Pool01_rev05_2000-px.jpg
079	domus-brickell-park	gallery-4	2000	2353	jpeg	570541	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/Domus_Pool02_rev01-1_2000-px.jpg
080	domus-brickell-park	gallery-5	2000	1251	jpeg	395475	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/Domus_Gym_rev05_2000-px.jpg
081	domus-brickell-park	gallery-6	2000	2352	jpeg	718175	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/Domus_WineBar_02_Unbranded_2000px.jpg
082	domus-brickell-park	gallery-7	2000	1000	jpeg	388367	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/DomusBrickellPark_The-Peacock-Room_2000-px.jpg
083	domus-brickell-park	gallery-8	1262	786	jpeg	136591	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Domus/gallery-5.jpg
084	edge-house	cover	1600	900	jpeg	264259	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/ayxrpX4g.jpeg
085	edge-house	gallery-1	2000	1125	jpeg	162314	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/TerraceView.jpg
086	edge-house	gallery-2	2000	1125	jpeg	498066	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/10_Edge-House_Pool-Deck1.webp
087	edge-house	gallery-3	2000	2000	jpeg	633958	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/12_Edge-House_Jacuzzi.webp
088	edge-house	gallery-4	2000	1125	jpeg	578638	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/17_Edge-House_BBQ-Area.webp
